1-ORF,2-Gene Name,3-Description,4-Localization,5-Cell morphology,6-Mitochondria morphology,7-YPD,8-SD,9-YPG,10-KO*,11-Short-Categorical result,12-Long-Categorical result,13-Short-% decrease with IAA,14-Long-% decrease with IAA,15-Short-0min-signal,16-Short-0min-StD,17-Short-0min-n,18-Short-30min-signal,19-Short-30min-StD,20-Short-30min-n,21-Long-0h-signal,22-Long-0h-StD,23-Long-0h-n,24-Long-24h-signal,25-Long-24h-StD,26-Long-24h-n,27-Mito Signal,28-Mito StD,29-Mito n,
YBL039C,URA7,"Major CTP synthase isozyme (see also URA8); catalyzes ATP-dependent transfer of amide nitrogen from glutamine to UTP, forming CTP, final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; targeted to vacuole via AP-3 pathway; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has paralog URA8 that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.23,1.241,1.072,viable ,Responsive,Responsive,65,85,244,46,1837,150,9,2842,450,89,1814,191,12,230,134,11,237,

YGL253W,HXK2,"Hexokinase isoenzyme 2; phosphorylates glucose in cytosol; predominant hexokinase during growth on glucose; represses expression of HXK1, GLK1, induces expression of its own gene; antiapoptotic; phosphorylation/dephosphorylation at Ser14 by kinase Snf1p, phosphatase Glc7p-Reg1p regulates nucleocytoplasmic shuttling of Hxk2p; functions downstream of Sit4p in control of cell cycle, mitochondrial function, oxidative stress resistance, chronological lifespan; has paralog HXK1",cytoplasm,Normal,Normal,1.395,1.419,1.178,viable ,Responsive,Responsive,48,95,619,278,2373,369,189,2873,1591,632,1515,219,39,503,127,15,511,

YMR120C,ADE17,"Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine",cytoplasm,Normal,Normal,1.288,1.267,1.153,viable ,Responsive,Responsive,66,85,284,87,2124,163,13,2686,457,145,1510,192,16,390,132,12,390,

YAL038W,CDC19,"Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication",cytoplasm,Normal,Cell morphology,1.198,0.607,1.2,inviable ,No aparent change,No aparent change,Not calculated,Not calculated,3456,2017,2096,3385,1921,2510,4768,2396,1601,4288,3379,217,133,16,222,

YPL048W,CAM1,One of two isoforms of the gamma subunit of eEF1B; stimulates the release of GDP from eEF1A (Tef1p/Tef2p) post association with the ribosomal complex with eEF1Balpha subunit; nuclear protein required for transcription of MXR1; binds the MXR1 promoter in the presence of other nuclear factors; binds calcium and phospholipids,cytoplasm,Normal,Normal,1.348,1.245,1.033,viable ,Responsive,Responsive,46,69,205,28,2047,157,9,2756,319,50,1794,194,16,482,128,12,484,

YIL076W,SEC28,"Epsilon-COP subunit of the coatomer; regulates retrograde Golgi-to-ER protein traffic; stabilizes Cop1p, the alpha-COP and the coatomer complex; non-essential for cell growth; protein abundance increases in response to DNA replication stress","Golgi,early Golgi",Normal,Abnormal,1.193,0.684,1.064,viable ,Responsive,Responsive,33,57,186,18,902,158,11,1535,303,37,350,204,33,225,149,46,225,

YER036C,ARB1,"ATPase of the ATP-binding cassette (ABC) family; involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; important for disaggregation of ordered and disordered aggregates; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p; human homolog ABCF2 can complement yeast ARB1 mutant",cytoplasm,Abnormal,Abnormal,0.128,0.332,0.235,inviable ,Responsive,Responsive,72,Not calculated,276,83,2435,149,13,2868,546,148,2031,182,12,110,125,10,106,

YML008C,ERG6,"Delta(24)-sterol C-methyltransferase; converts zymosterol to fecosterol in the ergosterol biosynthetic pathway by methylating position C-24; localized to lipid particles, the plasma membrane-associated endoplasmic reticulum, and the mitochondrial outer membrane",lipid particle,Normal,Abnormal,1.084,1.105,1.078,viable ,Responsive,Responsive,41,78,216,40,1486,168,15,2269,362,86,2173,189,15,363,219,57,362,

YGR200C,ELP2,Subunit of Elongator complex; binds to microtubules via conserved alkaline residues; has two seven-bladed WD40 &#946; propellers; Elongator complex is required for modification of wobble nucleosides in tRNA; target of Kluyveromyces lactis zymocin,cytoplasm,Normal,Normal,0.935,1.01,1.217,viable ,No Fluorescence detected,Responsive,Not calculated,46,159,8,1697,144,8,2290,250,23,1761,188,20,373,138,19,371,

YPR125W,YLH47,"Mitochondrial inner membrane protein; exposed to the mitochondrial matrix; associates with mitochondrial ribosomes; NOT required for respiratory growth; homolog of human Letm1, a protein implicated in Wolf-Hirschhorn syndrome",mitochondrion,Normal,Normal,1.177,1.183,1.109,viable ,No aparent change,No aparent change,Not calculated,Not calculated,186,19,1693,185,19,2385,297,35,2172,240,34,447,133,13,456,

YER168C,CCA1,"ATP (CTP):tRNA-specific tRNA nucleotidyltransferase; different forms targeted to the nucleus, cytosol, and mitochondrion are generated via the use of multiple transcriptional and translational start sites; human homolog TRNT1 complements yeast null mutant",cytoplasm,Synchronized abnormal,Abnormal,0,0.005,0.129,inviable ,No aparent change,Responsive,Not calculated,Not calculated,167,10,1151,154,8,1906,252,28,1144,198,45,33,181,283,35,

YOR065W,CYT1,"Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex",mitochondrion,Normal,Normal,1.187,1.19,1.112,viable ,No aparent change,No aparent change,Not calculated,Not calculated,233,53,2578,223,46,3048,431,144,987,336,111,514,131,12,520,

YIR026C,YVH1,"Dual specificity protein phosphatase; regulates growth, sporulation, and glycogen accumulation in a cAMP-dependent protein kinase cascade dependent manner; mutants are defective in 60S ribosome assembly; positively regulates pre-autophagosomal structure (PAS) formation upon nitrogen starvation or rapamycin treatment",cytoplasm,Normal,Normal,0.564,0.784,0.748,viable ,No Fluorescence detected,Responsive,Not calculated,42,163,10,2093,152,8,2682,246,19,1308,188,11,288,135,12,286,

YDL067C,COX9,Subunit VIIa of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain,mitochondrion,Normal,Abnormal,1.072,1.132,0,viable ,No aparent change,Partially responsive,Not calculated,Not calculated,172,15,2505,162,14,3026,281,37,2090,197,16,671,125,9,684,

YNL121C,TOM70,"Component of the TOM (translocase of outer membrane) complex; involved in the recognition and initial import steps for all mitochondrially-directed proteins, acting as a receptor for incoming precursor proteins; moonlighting role as a transcriptional regulator of mitochondrial proteins; age-dependent reduction in Tom70p results in mitochondrial dysfunction, a hallmark of aging; localizes to mitochondriaג€“ER contact sites; TOM70 has a paralog, TOM71, that arose from the whole genome duplication ",mitochondrion,Normal,Abnormal,1.167,1.14,1.2,viable ,Responsive,Responsive,54,78,211,34,3026,151,12,3336,347,56,2708,186,14,642,133,13,640,

YPL086C,ELP3,Subunit of Elongator complex; Elongator is required for modification of wobble nucleosides in tRNA; exhibits histone acetyltransferase activity that is directed to histones H3 and H4; disruption confers resistance to K. lactis zymotoxin; human homolog ELP3 can partially complement yeast elp3 null mutant,cytoplasm,Normal,Normal,0.877,0.878,0.961,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,173,12,2355,156,9,2834,244,19,2237,190,19,213,142,18,215,

YGR123C,PPT1,Protein serine/threonine phosphatase; regulates Hsp90 chaperone by affecting its ATPase and cochaperone binding activities; has similarity to human phosphatase PP5; present in both the nucleus and cytoplasm; expressed during logarithmic growth,cytoplasm,Normal,Normal,1.167,1.191,1.238,viable ,Responsive,Responsive,31,58,175,14,1620,152,8,2603,271,24,1488,188,16,523,135,13,522,

YJR016C,ILV3,Dihydroxyacid dehydratase; putative 2Fe-2S protein; catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids,mitochondrion,Normal,Normal,1.177,1.315,1.353,inviable ,No aparent change,No aparent change,Not calculated,Not calculated,356,100,2191,344,89,2724,606,151,2027,477,170,440,134,14,447,

YLR384C,IKI3,"Subunit of Elongator complex; Elongator is required for modification of wobble nucleosides in tRNA; maintains structural integrity of Elongator; homolog of human IKAP, mutations in which cause familial dysautonomia (FD)",cytoplasm,Normal,Normal,0.855,0.82,1.071,viable ,Responsive,Responsive,33,52,179,12,1923,153,7,2533,270,25,1217,194,16,273,142,15,277,

YPR024W,YME1,Catalytic subunit of i-AAA protease complex; complex is located in mitochondrial inner membrane; responsible for degradation of unfolded or misfolded mitochondrial gene products; serves as nonconventional translocation motor to pull PNPase into intermembrane space; also has role in intermembrane space protein folding; mutation causes elevated rate of mitochondrial turnover; human homolog YME1L1 can complement yeast null mutant,mitochondrion,Normal,Normal,1.022,0.94,1.089,viable ,No aparent change,Responsive,Not calculated,57,168,12,2068,156,10,2468,268,23,2638,188,17,389,126,11,385,

YER139C,RTR1,"Dual specificity protein phosphatase; dephosphorylates T1 and S5 in  C-terminal domain (CTD) of RNA polymerase II largest subunit, Rpo21p; autoregulates turnover of its mRNA; has a cysteine-rich motif required for function and conserved in eukaryotes; shuttles between the nucleus and cytoplasm; RTR1 has a paralog, RTR2, that arose from the whole genome duplication",cytoplasm,Abnormal,Normal,1.068,0.983,1.369,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,153,7,2832,142,6,2619,253,18,1806,193,17,459,127,10,456,

YIL051C,MMF1,"Mitochondrial protein required for transamination of isoleucine; but not of valine or leucine; may regulate specificity of branched-chain transaminases Bat1p and Bat2p; induction of expression in response to stress is mediated by a Hog1p-regulated antisense RNA and gene looping; interacts genetically with mitochondrial ribosomal protein genes; MMF1 has a paralog, HMF1, that arose from the whole genome duplication",mitochondrion,Normal,Normal,1.106,1.058,1.354,inviable ,No aparent change,No aparent change,Not calculated,Not calculated,390,143,2542,367,123,2997,729,253,2686,571,227,289,133,12,291,

YLR452C,SST2,GTPase-activating protein for Gpa1p; regulates desensitization to alpha factor pheromone; also required to prevent receptor-independent signaling of the mating pathway; member of the RGS (regulator of G-protein signaling) family,cytoplasm,Abnormal,Normal,1.192,1.267,1.336,viable ,Responsive,Responsive,33,54,178,15,2059,152,8,2383,261,24,1636,187,16,784,130,12,795,

YCL064C,CHA1,"Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine",mitochondrion,Normal,Normal,1.112,1.157,1.219,viable ,No aparent change,No aparent change,Not calculated,Not calculated,338,110,1771,325,99,2314,359,187,1143,315,189,300,134,15,315,

YER143W,DDI1,"Aspartic-type endopeptidase; involved in the cleavage of long-chain polyubiquitinated substrates; role in proteasome-independent, ubiquitin (Ub)-dependent proteolysis and DNA-protein crosslink repair; Ub-shuttle receptor for HO and Ufo1p; DNA damage-inducible v-SNARE binding protein and negative regulator of constitutive exocytosis; possible role in the S-phase checkpoint; UBL-UBA family member containing Ub-like (UBL), helical, Ub-associated (UBA) and retroviral-like proteinase (RVP) domains",cytoplasm,Normal,Normal,1.116,1.262,1.118,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,168,10,2161,156,8,2371,240,19,415,210,14,630,125,9,631,

YNL016W,PUB1,"Poly (A)+ RNA-binding protein; abundant mRNP-component protein that binds cell wall mRNAs; required for stability of many mRNAs; component of glucose deprivation induced stress granules, involved in P-body-dependent granule assembly; implicated in regulation of translation; carries Q/N-rich domain at C- terminus, identified as candidate prion; ribosome-bound Pub1p modulates stop codon decoding during translation termination",cytoplasm,Normal,Abnormal,1.19,1.221,1.001,viable ,Responsive,Responsive,61,62,236,54,1616,153,10,2473,257,83,855,180,16,200,140,24,201,

YER177W,BMH1,"14-3-3 protein, major isoform; involved in post-transcriptional control of the proteome; binds to both proteins and to DNA, including replication origins; regulates exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling, aggresome formation, the spindle position checkpoint and meiotic commitment; protein abundance and relative distribution to the nucleus increase upon DNA replication stress; antiapoptotic gene; similar to several human 14-3-3 proteins",cytoplasm,Normal,Normal,1.136,1.308,1.011,competitive fitness  decreased ,Responsive,Responsive,63,91,326,99,740,184,35,1247,632,174,584,190,13,410,139,17,409,

YGL105W,ARC1,"Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases; involved in tRNA delivery, stimulating catalysis, and ensuring localization; also binds quadruplex nucleic acids; protein abundance increases in response to DNA replication stress; methionyl-tRNA synthetase is Mes1p; glutamyl-tRNA synthetase is Gus1p",cytoplasm,Normal,Cell morphology,0.877,1.172,0.777,viable ,Responsive,Responsive,74,89,322,91,1385,158,14,2416,573,167,1580,193,22,208,137,16,208,

YAL005C,SSA1,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils",cytoplasm,Normal,Normal,1.114,1.262,0.758,viable ,No aparent change,Partially responsive,Not calculated,89,1990,1472,1283,2020,1315,2106,4782,2946,1861,638,1422,209,137,17,210,

YMR309C,NIP1,eIF3c subunit of the eukaryotic translation initiation factor 3 (eIF3); involved in the assembly of preinitiation complex and start codon selection; eIF3 is also involved in programmed stop codon readthrough,cytoplasm,Normal,Abnormal,0,0,0,inviable ,Responsive,Responsive,44,Not calculated,229,47,807,173,23,1329,345,95,942,226,9,3,131,3,3,

YOR298C-A,MBF1,Transcriptional coactivator; bridges the DNA-binding region of Gcn4p and TATA-binding protein Spt15p; suppressor of frameshift mutations; protein abundance increases in response to DNA replication stress,cytoplasm,Normal,Normal,1.181,1.276,1.072,viable ,Responsive,Responsive,75,93,469,237,1232,191,56,1990,877,364,1400,199,22,329,137,15,326,

YBL032W,HEK2,"RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K; increases mRNA stability by binding (CNN)n repeat elements",cytoplasm,Normal,Normal,1.265,1.204,1.077,viable ,Responsive,Responsive,26,45,179,13,2661,159,8,3061,261,24,2392,195,15,975,126,9,981,

YOR027W,STI1,"Evolutionarily-conserved Hsp90 cochaperone; regulates spatial organization of amyloid-like proteins in the cytosol, thereby buffering the proteotoxicity caused by amyloid-like proteins; interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhibits their ATPase activity; homolog of mammalian Hop",cytoplasm,Normal,Normal,1.241,1.354,1.075,viable ,Responsive,Responsive,55,88,450,174,887,257,89,1350,822,326,1911,224,23,507,132,14,512,

YHR064C,SSZ1,Hsp70 protein that interacts with Zuo1p (a DnaJ homolog); interacts with Zuo1p to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP,cytoplasm,Normal,Abnormal,0.945,1.222,1.154,viable ,Responsive,Responsive,59,89,230,64,2088,153,13,2733,576,160,1238,192,15,548,148,20,549,

YFR053C,HXK1,"Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.249,1.29,1.181,viable ,Responsive,Responsive,41,40,184,61,2185,150,19,3022,277,53,768,209,14,827,128,11,839,

YGR264C,MES1,"Methionyl-tRNA synthetase; forms a complex with Gus1p, a glutamyl-tRNA synthetase, and Arc1p, which increases the catalytic efficiency of both synthetases; involved in the nuclear export of tRNAs; mutations in human ortholog MARS is associated with pediatric pulmonary alveolar proteinosis, interstitial lung and liver disease, and Charcot-Marie-Tooth disease; human MARS gene can complement the yeast null mutant",cytoplasm,Normal,Normal,1.163,1.294,1.106,inviable ,No aparent change,Partially responsive,Not calculated,17,149,7,1835,138,6,2480,213,13,2067,177,12,203,149,26,205,

YPL240C,HSP82,"Hsp90 chaperone; functionally redundant with Hsc82p; required for pheromone signaling; negative regulator of the Hsf1p-dependent heat shock response with Cpr7p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding, nucleotide addition; promotes solubility of chaperone-substrate complexes; DNA damage induced nuclear import is Aha1p dependent; protein abundance increases in response to DNA replication stress; human homolog, HSP90AB1, complements null mutant",cytoplasm,Normal,Normal,1.306,1.299,1.168,viable ,Responsive,Responsive,49,92,561,275,1975,336,178,2431,998,437,2915,212,26,850,131,13,841,

YBR121C,GRS1,"Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation; GRS1 has a paralog, GRS2, that arose from the whole genome duplication; human homolog GARS implicated in Charcot-Marie-Tooth disease, can complement yeast null mutant",cytoplasm,Normal,Abnormal,0.316,2.008,1.01,inviable ,Responsive,Responsive,32,Not calculated,197,48,1369,166,15,1820,391,163,522,492,424,15,159,95,14,

YFR032C-A,RPL29,"Ribosomal 60S subunit protein L29; not essential for translation, but required for proper joining of large and small ribosomal subunits and for normal translation rate; homologous to mammalian ribosomal protein L29, no bacterial homolog",cytoplasm,Abnormal,Abnormal,1.204,1.271,1.189,viable ,Responsive,Responsive,69,97,607,315,2266,256,113,2554,1145,511,1937,182,15,615,131,19,618,

YBR025C,OLA1,P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; positively regulates heat shock response; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress,cytoplasm,Normal,Normal,1.155,1.312,1.26,viable ,Responsive,Responsive,65,76,265,50,1528,157,9,2116,418,86,2045,208,16,748,129,11,752,

YPL106C,SSE1,"ATPase component of heat shock protein Hsp90 chaperone complex; serves as nucleotide exchange factor to load ATP onto the SSA class of cytosolic Hsp70s; plays a role in prion propagation and determining prion variants; binds unfolded proteins; member of Hsp110 subclass of HSP70 proteins; deletion results in spindle elongation in S phase; SSE1 has a paralog, SSE2, that arose from the whole genome duplication",cytoplasm,Abnormal,Cell morphology,0.708,1.143,0.877,viable ,Responsive,Responsive,56,93,469,268,1501,261,136,1911,1017,409,1833,213,24,315,132,32,318,

YOR335C,ALA1,"Cytoplasmic and mitochondrial alanyl-tRNA synthetase; required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog AARS; mutations in human homolog AARS are associated with autoimmune disease polymyositis/dermatomyositis and with hereditary peripheral neuropathy, Charcot-Marie-Tooth (CMT) disease",cytoplasm,Normal,Abnormal,0,0,0,inviable ,Responsive,Responsive,31,Not calculated,191,27,841,162,12,1021,286,49,509,219,255,8,141,50,9,

YPR035W,GLN1,"Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress",cytoplasm,Normal,Abnormal,0,0,0,inviable ,No aparent change,Responsive,Not calculated,Not calculated,471,231,1993,317,137,2376,874,452,1832,219,41,28,180,101,28,

YGR254W,ENO1,"Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; N-terminally propionylated in vivo; ENO1 has a paralog, ENO2, that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.182,1.258,1.174,N/A,No aparent change,Responsive,Not calculated,76,234,100,2619,173,53,2444,394,195,2895,203,22,588,131,12,570,

YER023W,PRO3,Delta 1-pyrroline-5-carboxylate reductase; catalyzes the last step in proline biosynthesis,cytoplasm,Normal,Abnormal,0,0,0.602,inviable ,Responsive,Responsive,25,Not calculated,182,16,1745,162,9,2234,266,31,1327,212,59,31,156,52,31,

YER178W,PDA1,"E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes",mitochondrion,Normal,Normal,1.228,1.262,0.984,viable ,No aparent change,No aparent change,Not calculated,Not calculated,220,64,1986,225,70,2674,358,121,3953,374,144,1188,128,10,1236,

